idnumber,materials,word,list1,list2,list3
152,1,baby,0,0,1
152,1,bee,1,1,1
152,1,doll,1,1,0
152,1,drum,0,0,1
152,1,duck,0,1,1
152,1,engineer,1,1,1
152,1,hat,0,0,1
152,1,journal,0,1,1
152,1,kite,1,1,1
152,1,minister,0,1,1
152,1,owl,0,1,1
152,1,purse,0,0,0
152,1,python,0,0,1
152,1,rake,1,1,1
152,1,slipper,0,1,1
152,1,soldier,0,0,1
152,1,spider,0,1,1
152,1,stove,0,0,1
152,1,tent,0,0,0
152,1,trout,0,0,1
152,1,turtle,0,1,0
152,1,violin,0,1,1
152,1,whistle,1,1,1
152,1,wolf,0,0,0
155,1,baby,0,0,1
155,1,bee,0,1,0
155,1,doll,0,1,1
155,1,drum,0,0,0
155,1,duck,0,1,1
155,1,engineer,1,1,1
155,1,hat,0,0,1
155,1,journal,0,1,0
155,1,kite,0,1,1
155,1,minister,0,0,0
155,1,owl,1,0,0
155,1,purse,1,1,1
155,1,python,0,0,1
155,1,rake,0,0,1
155,1,slipper,0,0,0
155,1,soldier,0,0,0
155,1,spider,1,0,0
155,1,stove,0,1,1
155,1,tent,0,0,0
155,1,trout,0,0,1
155,1,turtle,1,1,0
155,1,violin,0,0,0
155,1,whistle,1,1,1
155,1,wolf,0,0,0
158,1,baby,1,1,0
158,1,bee,1,1,1
158,1,doll,0,0,0
158,1,drum,0,0,0
158,1,duck,0,0,1
158,1,engineer,0,0,1
158,1,hat,1,1,1
158,1,journal,0,0,1
158,1,kite,1,1,0
158,1,minister,0,1,0
158,1,owl,1,1,1
158,1,purse,1,1,1
158,1,python,0,0,1
158,1,rake,0,0,0
158,1,slipper,0,0,0
158,1,soldier,0,1,0
158,1,spider,0,0,0
158,1,stove,0,0,0
158,1,tent,0,1,1
158,1,trout,1,0,0
158,1,turtle,0,1,1
158,1,violin,0,0,1
158,1,whistle,0,0,1
158,1,wolf,0,1,1
161,1,baby,1,0,1
161,1,bee,0,1,1
161,1,doll,1,1,1
161,1,drum,1,1,0
161,1,duck,0,0,0
161,1,engineer,1,0,1
161,1,hat,0,1,1
161,1,journal,1,1,1
161,1,kite,1,1,1
161,1,minister,0,1,1
161,1,owl,1,1,1
161,1,purse,0,1,1
161,1,python,1,1,0
161,1,rake,0,1,1
161,1,slipper,0,1,1
161,1,soldier,1,1,1
161,1,spider,1,0,0
161,1,stove,0,1,1
161,1,tent,1,1,0
161,1,trout,0,1,0
161,1,turtle,0,1,1
161,1,violin,1,1,0
161,1,whistle,1,1,0
161,1,wolf,1,1,1
164,1,baby,0,1,1
164,1,bee,1,1,0
164,1,doll,0,1,1
164,1,drum,0,0,1
164,1,duck,0,0,0
164,1,engineer,0,0,1
164,1,hat,0,0,0
164,1,journal,0,0,0
164,1,kite,0,0,1
164,1,minister,0,0,0
164,1,owl,0,0,1
164,1,purse,0,1,1
164,1,python,0,1,1
164,1,rake,0,0,1
164,1,slipper,0,0,0
164,1,soldier,0,0,0
164,1,spider,0,0,0
164,1,stove,0,0,1
164,1,tent,0,0,0
164,1,trout,0,1,0
164,1,turtle,0,0,0
164,1,violin,0,0,0
164,1,whistle,0,0,1
164,1,wolf,0,0,1
167,1,baby,0,1,1
167,1,bee,0,1,1
167,1,doll,1,1,0
167,1,drum,0,0,1
167,1,duck,1,1,1
167,1,engineer,1,1,1
167,1,hat,0,0,0
167,1,journal,0,0,0
167,1,kite,0,1,1
167,1,minister,0,1,1
167,1,owl,0,0,1
167,1,purse,1,0,1
167,1,python,1,1,1
167,1,rake,0,0,0
167,1,slipper,0,0,1
167,1,soldier,0,0,0
167,1,spider,1,1,1
167,1,stove,0,1,1
167,1,tent,0,1,1
167,1,trout,1,1,1
167,1,turtle,1,1,1
167,1,violin,0,0,1
167,1,whistle,0,0,0
167,1,wolf,0,1,1
